"Sku","Description","SubCategory","Fulfillment Cost","USA cost","Overseas Cost","Labor Cost","Alt Item Number","Alternate Product","On Order","Lead Time","Total Inventory","Tags","Active","Weight Amount","Weight Unit","Length","Width","Height","Dimensional Unit","External Site Product","Departments","Minimum Inventory","Maximum Inventory","Image"
"SRN006SIL","Tiny Stackable Silver Ring - Size 6
 304 Stainless Steel","Jewelry Supplies","2.6","","0","0","null","null","0","21","3300","Missing Info","Yes","1","Ounce(s)","0","0","0","Inches","No","Electroplating","1","9999",""
"SRN007GLD","Tiny Stackable Gold Ring - Size 7
 18k Gold Plated 
 304 Stainless Steel","Jewelry Supplies","2.6","","0","0","null","null","0","21","0","Missing Info","Yes","1","Ounce(s)","0","0","0","Inches","No","Electroplating","1","9999",""
"SRN007RSG","Tiny Stackable Rose Gold Ring - Size 7
 18k Rose Gold Plated 
 304 Stainless Steel","Jewelry Supplies","2.6","","0","0","null","null","0","21","0","Missing Info","Yes","1","Ounce(s)","0","0","0","Inches","No","Electroplating","1","9999",""
"SRN007SIL","Tiny Stackable Silver Ring - Size 7
 304 Stainless Steel","Jewelry Supplies","2.6","","0","0","null","null","0","21","5200","Missing Info","Yes","1","Ounce(s)","0","0","0","Inches","No","Electroplating","1","9999",""
"SRN008GLD","Tiny Stackable Gold Ring - Size 8
 18k Gold Plated 
 304 Stainless Steel","Jewelry Supplies","2.6","","0","0","null","null","0","21","0","Missing Info","Yes","1","Ounce(s)","0","0","0","Inches","No","Electroplating","1","9999",""
"SRN008RSG","Tiny Stackable Rose Gold Ring - Size 8
 18k Rose Gold Plated 
 304 Stainless Steel","Jewelry Supplies","2.6","","0.34","0","null","null","0","21","0","Missing Info","Yes","1","Ounce(s)","0","0","0","Inches","No","Electroplating","1","5000",""
"SRN008SIL","Tiny Stackable Silver Ring - Size 8
 304 Stainless Steel","Jewelry Supplies","2.6","","0","0","null","null","0","21","4800","Missing Info","Yes","1","Ounce(s)","0","0","0","Inches","No","Electroplating","1","9999",""
"SRN009GLD","Tiny Stackable Gold Ring - Size 9
 18k Gold Plated 
 304 Stainless Steel","Jewelry Supplies","2.6","","0.33","0","null","null","0","21","0","Missing Info","Yes","1","Ounce(s)","0","0","0","Inches","No","Electroplating","1","5000",""
"SRN009RSG","Tiny Stackable Rose Gold Ring - Size 9
 18k Rose Gold Plated 
 304 Stainless Steel","Jewelry Supplies","2.6","","0.34","0","null","null","0","21","0","Missing Info","Yes","1","Ounce(s)","0","0","0","Inches","No","Electroplating","1","5000",""
"SRN009SIL","Tiny Stackable Silver Ring - Size 9
 304 Stainless Steel","Jewelry Supplies","2.6","","0.27","0","null","null","0","21","2600","Missing Info","Yes","1","Ounce(s)","0","0","0","Inches","No","Electroplating","1","5000",""
"SRN010GLD","Tiny Stackable Gold Ring - Size 10
 18k Gold Plated 
 304 Stainless Steel","Jewelry Supplies","2.6","","0.33","0","null","null","0","21","0","Missing Info","Yes","1","Ounce(s)","0","0","0","Inches","No","Electroplating","1","5000",""
"SRN010RSG","Tiny Stackable Rose Gold Ring - Size 10
 18k Rose Gold Plated 
 304 Stainless Steel","Jewelry Supplies","2.6","","0.34","0","null","null","0","21","0","Missing Info","Yes","1","Ounce(s)","0","0","0","Inches","No","Electroplating","1","5000",""
"SRN010SIL","Tiny Stackable Silver Ring - Size 10
 304 Stainless Steel","Jewelry Supplies","2.6","","0.27","0","null","null","0","21","2068","Missing Info","Yes","1","Ounce(s)","0","0","0","Inches","No","Electroplating","1","5000",""
"SRN011GLD","Tiny Stackable Gold Ring - Size 11
 18k Gold Plated 
 304 Stainless Steel","Jewelry Supplies","2.6","","0.33","0","null","null","0","21","0","Missing Info","Yes","1","Ounce(s)","0","0","0","Inches","No","Electroplating","1","5000",""
"SRN011RSG","Tiny Stackable Rose Gold Ring - Size 11
 18k Rose Gold Plated 
 304 Stainless Steel","Jewelry Supplies","2.6","","0.34","0","null","null","0","21","0","Missing Info","Yes","1","Ounce(s)","0","0","0","Inches","No","Electroplating","1","5000",""
"SRN011SIL","Tiny Stackable Silver Ring - Size 11
 304 Stainless Steel","Jewelry Supplies","2.6","","0.27","0","null","null","0","21","400","Missing Info","Yes","1","Ounce(s)","0","0","0","Inches","No","Electroplating","1","5000",""
"SRN012GLD","Tiny Stackable Gold Ring - Size 12
 18k Gold Plated 
 304 Stainless Steel","Jewelry Supplies","2.6","","0.33","0","null","null","0","21","0","Missing Info","Yes","1","Ounce(s)","0","0","0","Inches","No","Electroplating","1","5000",""
"SRN012RSG","Tiny Stackable Rose Gold Ring - Size 12
 18k Rose Gold Plated 
 304 Stainless Steel","Jewelry Supplies","2.6","","0.34","0","null","null","0","21","0","Missing Info","Yes","1","Ounce(s)","0","0","0","Inches","No","Electroplating","1","5000",""
"SRN012SIL","Tiny Stackable Silver Ring - Size 12
 304 Stainless Steel","Jewelry Supplies","2.6","","0.27","0","null","null","0","21","0","Missing Info","Yes","1","Ounce(s)","0","0","0","Inches","No","Electroplating","1","5000",""
"SSAC","Keychain-Stainless Steel Ace Card","","5.1","","0","0","","null","0","4","37","","Yes","1.5","Ounce(s)","3.31","2.13","0","Inches","No","Engraving","0","0","https://cwaprodstorage.blob.core.windows.net/images/a558931b-8e4c-42f5-aaf1-06460a3b7211IMG_9080_clipped_rev_1 %281%29.jpg"
